X,Y,OBJECTID,FOLIO,ID,NAME,ADDRESS,CITY,ZIPCODE,PHONE,CONTACT,CLASS,TOTACRE,TYPE,DEVELOP,MNGTAGCY,LAT,LON,POINT_X,POINT_Y,SOURCEGLOBALID,SOURCECREATIONDATE,SOURCECREATOR,SOURCEEDITDATE,SOURCEEDITOR,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE,GlobalID
-8920284.8625,2984869.7213,11,1322270013390, ,Bay Harbor Island Tennis Courts,1165 94th St,Bay Harbor Islands,33154,305-866-6241,,Community/Neighborhood,3.48257485365,Local,Fully Developed,Bay Harbor Islands,25.8852,-80.13228,941452.842490245,564908.545421407,07C6D475-445A-4286-81C9-DB6CA929B018,2021/10/21 15:23:25+00,BayHarborIslandsPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:16+00,PROSM,2024/03/05 07:28:03+00,2af0d934-62f3-4866-8152-56854e098471
-8919963.0054,2990334.0592,12,3122140070210,49944,Bella Vista Bay Park,500 Sunny Isles Blvd,Sunny Isles Beach,33160,305-792-1706,305-792-1706,Community/Neighborhood,0,Local,Undeveloped,Sunny Isles Beach,25.92935,-80.12939,942296.92085458,580963.748219073,FF1E3FB0-49E6-4925-A6B5-6F7A41AA6E62,2021/10/21 15:23:25+00,SunnyIslesBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:38+00,PROSM,2024/03/05 07:28:39+00,c500179a-8c92-4d13-8e3d-91c45372f365
-8926017.033,2986526.717,13,0622300130040,221950,Ray Cagni Park,750 NE 135th St,North Miami,33161,305-895-9840, ,Community/Neighborhood,9,Local,Fully Developed,North Miami,25.89859,-80.18377,924492.148065247,569667.143843822,01EB2258-AC93-449D-ADC7-0A450B333ECF,2021/10/21 15:23:25+00,NorthMiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:29+00,PROSM,2024/03/05 07:28:24+00,b2d2dcf4-4f01-492c-b7d8-5ec423ee22f3
-8927643.7445,2975405.8595,14,0131250191470,312551,Roberto Clemente Park,101 NW 34th St,Miami,33127,305-960-2902,KATHY COTTLE,Community/Neighborhood,5,Local,Fully Developed,Miami,25.80869,-80.19839,919887.467970163,536961.02224832,038135A2-7509-40E0-9288-817ED9CB6567,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:09+00,PROSM,2024/03/05 07:27:51+00,81d85e86-a3e7-463e-8ee8-f4990f941a52
-8943061.8039,2987356.8756,15,3220220200020,202214,ML Tax Dist.- (p-77),8441 Ardoch Rd,Miami Lakes,33016,305-698-9308, ,Mini Park,0,Local,Undeveloped,Miami Lakes,25.9053,-80.33689,874143.201519247,571821.529626906,053A675C-9153-4324-9C67-AD3123AC202E,2021/10/21 15:23:25+00,MiamiLakesPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:15+00,PROSM,2024/03/05 07:28:01+00,200454d0-085e-408a-99b4-0e8dd4e24e21
-8940188.3009,2970356.4812,16,0140020040350,400250,Flagami Park,7121 SW 3rd St,Miami,33144,305-960-2946, ,Mini Park,1,Local,Fully Developed,Miami,25.76785,-80.31108,882890.477987912,521906.606491074,92478C30-3BBB-4555-A602-22F68B5F007D,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:26+00,PROSM,2024/03/05 07:28:19+00,71b695b8-fdca-4539-9bd1-b254189ad37f
-8928349.9815,2967952.2044,17,0141390012630,411350,Alice Wainwright Park,2651 Brickell Ave,Miami,33129,305-960-2946, ,Nature,18.00879847635,Area-Wide,Fully Developed,Miami,25.74839,-80.20473,917932.506656997,515033.579882823,003DD813-C09A-439A-845E-B6DEDE0E132E,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:35+00,PROSM,2024/03/05 07:28:35+00,6ee60d39-80d9-484c-88ce-ff7df7e7335f
-8941479.335,2957923.5115,18,2050100000170,501050,Veterans Wayside Park,SW 112th St / S Dixie Hwy,Pinecrest,33156,305-284-0900, ,Community/Neighborhood,3,Local,Fully Developed,Pinecrest,25.66722,-80.32267,879261.251322497,485314.305003904,0A838F93-E74D-4299-B183-045A25DBDD72,2021/10/21 15:23:25+00,PinecrestPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:26+00,PROSM,2024/03/05 07:28:18+00,2e2d1569-7eec-4c15-8f45-a7af0a502c2d
-8938142.2092,2962390.4268,19,0940360250170,402553,Jean Willis Park,7220 SW 61st Ct,South Miami,33143,305-668-3876,Lorenzo Woodley,Community/Neighborhood,1,Local,Undeveloped,South Miami,25.70338,-80.29269,889065.200874664,498509.310109906,AC3FC334-5C20-4C46-A481-F067F584B831,2021/10/21 15:23:25+00,SouthMiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:37+00,PROSM,2024/03/05 07:28:37+00,cdf5d6d8-b236-442e-9acc-9a8f3d65b071
-8934101.2814,2969095.5911,20,0341080093850,410850,Phillips Park,"90 MENORES AVE, CORAL GABLES, 33134",Coral Gables,33134,305-460-5620,Fabio Rodriguez,Community/Neighborhood,3,Local,Open Space,Coral Gables,25.75765,-80.2564,900905.533955151,518324.179871248,485499F3-F608-4B7C-BF2F-D7E37DE15467,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/15 15:26:42+00,CoralGablesPark,PROSM,2024/01/31 10:03:02+00,PROSM,2024/05/29 07:42:49+00,923668d2-4bdb-43d2-9bef-10fcc90819e4
-8925250.6459,2979278.9678,21,0132180430031,ITD24,Baywood Park,760 NE 69th St,Miami,33138,305-960-2946, ,Community/Neighborhood,0,Local,Fully Developed,Miami,25.84001,-80.17689,926888.948389746,548387.877675407,1DE330E4-28BD-41EC-956B-364961A59E89,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:21+00,PROSM,2024/03/05 07:28:10+00,d97a4a8c-5bab-4f28-88aa-1176dfc473ee
-8930987.1324,2994164.0277,22, , ,Snake River Trailhead,NW 202nd St,Miami Gardens,33169, ,,Natural Trailhead,,Local,Snake Trail Open,Miami Gardens,25.96029,-80.22842,909682.271517079,592004.796674989,54E9EF74-FEEC-4918-B53F-90FCD3852E2D,2021/10/21 15:23:25+00,MiamiGardensPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:35+00,PROSM,2024/03/05 07:28:34+00,0685c0cb-385e-4630-bdd8-87b6b94802bf
-8960589.7998,2932903.0056,23,1078140001100,791350,Blakey Park - Tennis,600 SW 14th Ave,Homestead,33030,305-242-7146, ,Community/Neighborhood,7.90315184788,Local,Fully Developed,Homestead,25.46447,-80.49434,822996.324810579,411371.146131992,6D062395-AAA9-4BD7-87DD-601A9626915E,2021/10/21 15:23:25+00,HomesteadPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:44+00,PROSM,2024/03/05 07:28:48+00,bc39d92d-c9bf-40fb-a3d1-36bcd43f8f43
-8946437.0093,2969938.9864,24,2540050010598,400500,Carlow Park and Tennis Courts,10601 SW 5th St,Sweetwater,33174,305-551-4774, ,Community/Neighborhood,2,Local,Fully Developed,Sweetwater,25.76447,-80.36721,864422.590711161,520586.380128905,D1AF78B2-E324-43CB-9BD6-AB06E8F9F081,2021/10/21 15:23:25+00,SweetwaterPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:20+00,PROSM,2024/03/05 07:28:09+00,432664ac-a526-4807-afb4-83fef4b8d664
-8931254.9518,2965242.786,25, ,412254,"Dinner Key Picnic Islands #4, #5, #6",Westernmost Off Dinner Key,Miami,33133,305-960-2946, ,Special Activity Park,3,Area-Wide,Undeveloped,Miami,25.72647,-80.23083,909389.120200496,507013.88299574,7286ADE0-A6E9-4131-99C2-F84BC5080FBF,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:41+00,PROSM,2024/03/05 07:28:44+00,a85cce6a-44ee-4f3f-8f37-8802921d0238
-8938078.4448,2977963.665,26,0530130020010,301351,Peavy-Dove Field Park,700 Dove Ave,Miami Springs,33166,305-805-5075, ,Community/Neighborhood,6.33556008225,Local,Fully Developed,Miami Springs,25.82937,-80.29212,889007.875201911,544301.831057489,757B5F22-C629-44E0-AAA9-4A66FF5C63E3,2021/10/21 15:23:25+00,MiamiSpringsPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:11+00,PROSM,2024/03/05 07:27:54+00,018efd04-3365-4caf-9864-a63e87d18260
-8928360.8767,2979649.0633,27,0131120000730,311251,Victory Homes Recreation Area,530 NW 75th St,Miami,33150,305-960-2946, ,Community/Neighborhood,4,Local,Fully Developed,Miami,25.843,-80.20483,917692.611139413,549418.871676408,5A725D1E-1378-473A-8A4E-3268866633EC,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:12+00,PROSM,2024/03/05 07:27:55+00,3160ec77-6344-4ca5-984f-1dfeef9e94df
-8918878.3573,2980214.3107,28,0232110070330,321150,Allison Park,6475 Collins Ave,Miami Beach,33141,305-673-7730,305-673-7730,Community/Neighborhood,0,Local,Fully Developed,Miami Beach,25.84757,-80.11964,945698.781832997,551258.465110071,5E655137-4423-474E-9CC5-C38AE440205C,2021/10/21 15:23:25+00,MiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:18+00,PROSM,2024/03/05 07:28:05+00,e5c4a027-48c4-4667-a161-a799aa75f584
-8930154.1399,2985312.5716,29,0621260167310,212652,Sunkist Grove Center Tot Lot,12500 NW 13th Ave,North Miami,33167,305-685-5461, ,Community/Neighborhood,1,Local,Fully Developed,North Miami,25.88878,-80.22094,912295.520227578,566026.51661066,2FD1A81C-5C52-4659-A877-D2419C7AB260,2021/10/21 15:23:25+00,NorthMiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:15+00,PROSM,2024/03/05 07:28:01+00,ceb1f051-662a-4f7b-986c-0d60d4e44b6d
-8926833.7637,2980873.5613,30,0132070270010,320750,Oakland Grove Mini Park,NE 3rd Ave / NE 84th St,Miami,33138,305-960-2946, ,Mini Park,0,Local,Fully Developed,Miami,25.8529,-80.19111,922182.484705579,553044.531091742,57AB5747-1AD3-4F83-AC5B-622201DC9F48,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:28+00,PROSM,2024/03/05 07:28:22+00,40e57ddb-bfab-497d-89a1-4498df0edd39
-8943062.972,2987878.9291,31,3220220041100,202210,ML Tax Dist.- (p-73),8460 Dundee Ter,Miami Lakes,33016,305-698-9308, ,Mini Park,0,Local,Undeveloped,Miami Lakes,25.90952,-80.3369,874131.998785745,573354.749657571,3F28D1E4-247D-4C57-B2F1-9A468AFEBF30,2021/10/21 15:23:25+00,MiamiLakesPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:17+00,PROSM,2024/03/05 07:28:05+00,a9f5c412-fd26-4088-8e78-a45dea6a0f42
-8920405.661,2970110.187,32,0242100000040,791852,South Pointe Park,1 Washington Ave,Miami Beach,33139,305-673-7730,305-673-7006,Special Activity Park,16,Area-Wide,Fully Developed,Miami Beach,25.76585,-80.13336,941381.905296162,521527.55836466,D37BFD56-3B12-4020-86AB-7346593F8C5D,2021/10/21 15:23:25+00,MiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:26+00,PROSM,2024/03/05 07:28:19+00,11905d96-4ef7-49dd-a1d0-92cc76c57b2f
-8925244.3022,2972345.7231,33,0132310000010,323152,Watson Island Park,980 Macarthur Cswy,Miami,33132,305-960-2946, ,Special Activity Park,16,Area-Wide,Fully Developed,Miami,25.78394,-80.17683,927035.185630079,528008.863971576,965EB15A-59DA-4D9A-9919-23DC408C199F,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:24+00,PROSM,2024/03/05 07:28:15+00,9205a26e-ca7e-4f32-a649-a8fe53d0af35
-8947840.0726,2980127.6975,34,3530070010330, ,Doral Legacy Park,11400 NW 82nd St,Doral,33178,305-341-3601,,Community/Neighborhood,10.75062700873,Local,Fully Developed,Doral,25.84687,-80.37982,860133.327308077,550515.433131576,8475819E-C692-4596-A182-01AFFC9C0F4F,2021/10/21 15:23:25+00,DoralPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:36+00,PROSM,2024/03/05 07:28:36+00,250634e2-4a7f-46c3-b9ea-526d73125f0d
-8933743.2684,2962968.1993,35,0341290400660,412951,Sunrise Harbor Park,"25 W SUNRISE AVE, CORAL GABLES, 33133",Coral Gables,33133,305-460-5620,Fabio Rodriguez,Neighborhood Park,1,Local,Open Space,Coral Gables,25.70806,-80.25318,902066.997824894,500290.434379131,E1AFA5FE-A8B5-4ACA-95A2-1393F19EA729,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/07 19:20:09+00,CoralGablesPark,PROSM,2024/01/31 10:03:32+00,PROSM,2024/05/08 09:13:35+00,4080504f-7b32-4a1c-b66d-0a96f3347200
-8920658.1765,2985772.5651,36,1322270016780, ,North Passive Park (Triangle),103rd St & E Broadview Dr,Bay Harbor Islands,33154,305-866-6241,,Community/Neighborhood,0.19326689563,Local,Open Space,Bay Harbor Islands,25.8925,-80.13564,940340.879819162,567569.483669072,22AD0A8E-A228-4E48-964A-410764E8EF7D,2021/10/21 15:23:25+00,BayHarborIslandsPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:29+00,PROSM,2024/03/05 07:28:23+00,6461a2c6-7382-41a6-ab4a-23a576268dc8
-8959275.814,2934969.7087,37,1078120000400,781250,James Archer Smith Vita Park,300 NW 12th St,Homestead,33030,305-224-4570, ,Community/Neighborhood,5,Local,Fully Developed,Homestead,25.48123,-80.48254,826867.109391827,417477.596189409,4B4A6403-B11D-483F-B8C4-348C55471F28,2021/10/21 15:23:25+00,HomesteadPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:19+00,PROSM,2024/03/05 07:28:08+00,18d47dca-3c6e-4e61-a539-071279a4dbf9
-8960360.9235,2930118.1951,38,1678240160200,782550,William J Fasulo Park,525 SW 10th Ave,Florida City,33034,305-247-8221, ,Community/Neighborhood,13,Local,Fully Developed,Florida City,25.44188,-80.49229,823705.942157745,403164.329212323,A4B150E0-6A98-4FD3-AA47-AE501C1C3C20,2021/10/21 15:23:25+00,FloridaCityPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:18+00,PROSM,2024/03/05 07:28:06+00,fb30ee8d-1af5-4ad5-acca-fd6cfef0561c
-8940840.0752,2985615.427,39,0420260010400,201650,Palm Lakes Park,7450 W 16th Ave,Hialeah,33014,305-557-1231,William Sanchez,Neighborhood Park,2,Local,Fully Developed,Hialeah,25.89122,-80.31693,880730.615181662,566740.278962657,4C0B8040-4342-4385-9DC9-38451F708E2D,2021/10/21 15:23:25+00,HialeahPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:12+00,PROSM,2024/03/05 07:27:57+00,80398cfa-0cc6-48c8-851b-c6b6ae3257ab
-8928078.3476,2973374.5656,40,0131360650080,313653,Williams Park,1717 NW 5th Ave,Miami,33136,305-573-9553,TYRONE MILLER,Community/Neighborhood,5,Local,Fully Developed,Miami,25.79226,-80.2023,918639.201765914,530982.016161739,FD70B503-0A06-4FDB-AF42-D4644899A052,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:33+00,PROSM,2024/03/05 07:28:32+00,0dd50431-c5a5-42d7-84a8-5136c157a194
-8924991.7083,2991423.0106,41, ,220852,Columbia Tot Lot,NE 177th St & NE 13th Ave,North Miami Beach,33162,305-948-2957, ,Mini Park,0,Area-Wide,Fully Developed,North Miami Beach,25.93815,-80.17456,927405.262645829,584101.191747323,B896CF68-3453-4BA4-8CD9-75BCFA8E6593,2021/10/21 15:23:25+00,NorthMiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:15+00,PROSM,2024/03/05 07:28:01+00,0f753769-dbed-4473-9bec-9c047d4edf80
-8938997.2705,2981728.8781,42,0430010190060,300151,Goodlet Park,4200 W 8th Ave,Hialeah,33012,305-556-4567,William Sanchez,Neighborhood Park,23,Local,Fully Developed,Hialeah,25.85981,-80.30038,886233.934555579,555351.32667499,1EC0CF25-45F4-49C0-B412-4A73D0D24684,2021/10/21 15:23:25+00,HialeahPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:20+00,PROSM,2024/03/05 07:28:08+00,68e40fa1-9bcf-4a1c-93e5-c9dd644ba3e4
-8936824.1431,2965470.3588,43,0341190016440,421,"Enrique ""Henry"" Cepero Memorial Park","4600 SAN AMARO DR, CORAL GABLES, 33146",Coral Gables,33146,305-460-5620,Fabio Rodriguez,Neighborhood Park,1,Local,Undeveloped,Coral Gables,25.72832,-80.28086,892950.560214367,507441.59339872,8041E44D-85E7-42BF-90FC-D1615BA9153F,2021/10/21 15:23:25+00,CoralGablesPark,2024/05/23 17:32:45+00,E327883@miamidade.gov_MDC,PROSM,2024/01/31 10:03:23+00,PROSM,2024/05/29 07:42:51+00,cbb8c36f-2d26-4c02-bdb6-ac9a3dac74a1
-8931655.0548,2973382.2553,44,0131340000330,313450,Curtis Park Sport Complex,1901 NW 24th Ave,Miami,33125,305-634-4961,JOSE LEIVA,Community/Neighborhood,21,Local,Fully Developed,Miami,25.79232,-80.23442,908066.824944828,530941.862698741,DAB063D2-8711-49D3-A8C0-6C71493E7FFB,2021/10/21 15:23:25+00,MiamiPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:18+00,PROSM,2024/03/05 07:28:05+00,28e35b41-acc9-4551-ae48-28a0e6e7ab5d
-8920124.1269,2976482.864,45,0232220170250,322252,Muss Park,4300 Chase Ave,Miami Beach,33140,305-673-7765,305-673-7765,Community/Neighborhood,1,Local,Fully Developed,Miami Beach,25.8174,-80.13085,942090.610899746,540267.778430074,C931419D-0AFB-4435-BAC0-BCF2416819D0,2021/10/21 15:23:25+00,MiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:17+00,PROSM,2024/03/05 07:28:03+00,3236d632-5890-4232-b4ed-d18554933d17
-8927180.1311,2990539.7961,46,0722070050500,220752,Dolphin Park,NE 170th St & NE 3rd Ct,North Miami Beach,33162,305-948-2957, ,Community/Neighborhood,0,Local,Undeveloped,North Miami Beach,25.93102,-80.19422,920982.014337495,581444.950996824,9C19660E-BBD5-4EE4-B746-77315FF6EF1B,2021/10/21 15:23:25+00,NorthMiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:33+00,PROSM,2024/03/05 07:28:31+00,7332dfac-847c-49b8-acfb-e4890f6fefc0
-8935527.25120001,2975777.3663,47,0531200340670,312053,Ragan Park,La Baron Dr / Ragan Dr,Miami Springs,33166,305-805-5075, ,Mini Park,1,Local,Undeveloped,Miami Springs,25.81169,-80.2692,896582.128426079,537917.348419658,369373FE-3ECA-45AE-A7EA-1D20E8B36719,2021/10/21 15:23:25+00,MiamiSpringsPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:03+00,PROSM,2024/03/05 07:27:41+00,b86e923c-b021-4b66-a07a-0db8c43feac7
-8940163.01170001,2987453.6613,48,3220230032690,202335,ML Tax Dist.- (p-20),14611 Mahogany Ct,Miami Lakes,33014,305-698-9308, ,Mini Park,0,Local,Undeveloped,Miami Lakes,25.90608,-80.31085,882701.862223413,572149.922342822,14A0622E-1C18-4A59-82BF-C7317002D89C,2021/10/21 15:23:25+00,MiamiLakesPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:13+00,PROSM,2024/03/05 07:27:58+00,12cbbd9b-e30b-4070-8a74-f89f65d2b33e
-8920708.33560001,2990644.7107,49, ,221051,Eastern Shore Tot Lot,16531 NE 35th  Ave,North Miami Beach,33160,305-948-2957, ,Mini Park,0,Local,Fully Developed,North Miami Beach,25.93186,-80.13609,940090.325530246,581861.395045824,4C3D9421-64ED-4A74-8DFB-C0B37B325CB9,2021/10/21 15:23:25+00,NorthMiamiBeachPark,2024/01/31 09:47:15+00,e304239@miamidade.gov_MDC,PROSM,2024/01/31 10:03:24+00,PROSM,2024/03/05 07:28:16+00,ba254b00-7218-42cd-87d3-46d78987b5d1
