,"Miami-Dade County, Florida",,,,,,"Doral city, Florida",,,,,,"Hialeah city, Florida",,,,,,"Homestead city, Florida",,,,,,"Miami city, Florida",,,,,,"Miami Beach city, Florida",,,,,,"Miami Gardens city, Florida",,,,,
Nonfamily households,"305,439",31.0%,"51,584",24.9%,"253,855",32.6%,"4,006",15.3%,369,16.4%,"3,637",15.2%,"18,638",23.7%,"9,119",27.7%,"9,519",20.7%,"6,854",25.5%,670,16.3%,"6,184",27.1%,"90,318",44.9%,"16,099",37.6%,"74,219",46.9%,"18,521",48.9%,"2,219",46.2%,"16,302",49.3%,"9,723",28.0%,"1,478",17.6%,"8,245",31.4%
With children under 18 years,"300,490",30.5%,"78,294",37.7%,"222,196",28.5%,"12,161",46.4%,663,29.4%,"11,498",48.0%,"22,564",28.6%,"9,250",28.1%,"13,314",29.0%,"10,883",40.5%,"1,865",45.4%,"9,018",39.6%,"45,228",22.5%,"13,797",32.3%,"31,431",19.9%,"7,669",20.2%,"1,282",26.7%,"6,387",19.3%,"13,602",39.2%,"4,583",54.4%,"9,019",34.3%
Married-couple family,"179,090",18.2%,"31,662",15.3%,"147,428",18.9%,"9,156",34.9%,293,13.0%,"8,863",37.0%,"12,065",15.3%,"3,669",11.2%,"8,396",18.3%,"6,706",24.9%,716,17.4%,"5,990",26.3%,"24,198",12.0%,"4,076",9.5%,"20,122",12.7%,"5,407",14.3%,734,15.3%,"4,673",14.1%,"6,405",18.5%,"1,648",19.6%,"4,757",18.1%
Other family:,"119,903",12.2%,"46,461",22.4%,"73,442",9.4%,"2,854",10.9%,370,16.4%,"2,484",10.4%,"10,456",13.3%,"5,581",17.0%,"4,875",10.6%,"4,177",15.5%,"1,149",28.0%,"3,028",13.3%,"21,030",10.5%,"9,721",22.7%,"11,309",7.1%,"2,262",6.0%,548,11.4%,"1,714",5.2%,"7,151",20.6%,"2,935",34.9%,"4,216",16.1%
"Male householder, no spouse present","35,213",3.6%,"11,617",5.6%,"23,596",3.0%,917,3.5%,0,0.0%,917,3.8%,"3,803",4.8%,"1,970",6.0%,"1,833",4.0%,"1,390",5.2%,278,6.8%,"1,112",4.9%,"5,894",2.9%,"2,107",4.9%,"3,787",2.4%,949,2.5%,428,8.9%,521,1.6%,"1,699",4.9%,624,7.4%,"1,075",4.1%
"Female householder, no spouse present","84,690",8.6%,"34,844",16.8%,"49,846",6.4%,"1,937",7.4%,370,16.4%,"1,567",6.5%,"6,653",8.4%,"3,611",11.0%,"3,042",6.6%,"2,787",10.4%,871,21.2%,"1,916",8.4%,"15,136",7.5%,"7,614",17.8%,"7,522",4.8%,"1,313",3.5%,120,2.5%,"1,193",3.6%,"5,452",15.7%,"2,311",27.4%,"3,141",12.0%
Nonfamily households,"1,497",0.2%,171,0.1%,"1,326",0.2%,151,0.6%,0,0.0%,151,0.6%,43,0.1%,0,0.0%,43,0.1%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,0.0%,46,0.1%,0,0.0%,46,0.2%
No children under 18 years,"685,445",69.5%,"129,233",62.3%,"556,212",71.5%,"14,061",53.6%,"1,593",70.6%,"12,468",52.0%,"56,228",71.4%,"23,636",71.9%,"32,592",71.0%,"16,018",59.5%,"2,244",54.6%,"13,774",60.4%,"155,874",77.5%,"28,978",67.7%,"126,896",80.1%,"30,225",79.8%,"3,516",73.3%,"26,709",80.7%,"21,086",60.8%,"3,838",45.6%,"17,248",65.7%
Married-couple family,"255,187",25.9%,"39,431",19.0%,"215,756",27.7%,"7,112",27.1%,558,24.7%,"6,554",27.3%,"24,727",31.4%,"8,189",24.9%,"16,538",36.0%,"5,879",21.9%,569,13.8%,"5,310",23.3%,"42,064",20.9%,"6,852",16.0%,"35,212",22.2%,"8,300",21.9%,249,5.2%,"8,051",24.3%,"7,390",21.3%,968,11.5%,"6,422",24.4%
Other family:,"126,316",12.8%,"38,389",18.5%,"87,927",11.3%,"3,094",11.8%,666,29.5%,"2,428",10.1%,"12,906",16.4%,"6,328",19.2%,"6,578",14.3%,"3,285",12.2%,"1,005",24.5%,"2,280",10.0%,"23,492",11.7%,"6,027",14.1%,"17,465",11.0%,"3,404",9.0%,"1,048",21.8%,"2,356",7.1%,"4,019",11.6%,"1,392",16.5%,"2,627",10.0%
"Male householder, no spouse present","43,267",4.4%,"11,362",5.5%,"31,905",4.1%,700,2.7%,185,8.2%,515,2.1%,"3,795",4.8%,"1,230",3.7%,"2,565",5.6%,812,3.0%,322,7.8%,490,2.1%,"10,249",5.1%,"1,917",4.5%,"8,332",5.3%,"1,727",4.6%,108,2.3%,"1,619",4.9%,"1,211",3.5%,390,4.6%,821,3.1%
"Female householder, no spouse present","83,049",8.4%,"27,027",13.0%,"56,022",7.2%,"2,394",9.1%,481,21.3%,"1,913",8.0%,"9,111",11.6%,"5,098",15.5%,"4,013",8.7%,"2,473",9.2%,683,16.6%,"1,790",7.9%,"13,243",6.6%,"4,110",9.6%,"9,133",5.8%,"1,677",4.4%,940,19.6%,737,2.2%,"2,808",8.1%,"1,002",11.9%,"1,806",6.9%
Nonfamily households,"303,942",30.8%,"51,413",24.8%,"252,529",32.4%,"3,855",14.7%,369,16.4%,"3,486",14.5%,"18,595",23.6%,"9,119",27.7%,"9,476",20.6%,"6,854",25.5%,670,16.3%,"6,184",27.1%,"90,318",44.9%,"16,099",37.6%,"74,219",46.9%,"18,521",48.9%,"2,219",46.2%,"16,302",49.3%,"9,677",27.9%,"1,478",17.6%,"8,199",31.2%
POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Below poverty level,"145,803",14.8%,"70,873",34.2%,"74,930",9.6%,"3,232",12.3%,600,26.6%,"2,632",11.0%,"15,669",19.9%,"11,575",35.2%,"4,094",8.9%,"3,551",13.2%,"1,831",44.6%,"1,720",7.5%,"36,747",18.3%,"20,301",47.5%,"16,446",10.4%,"5,666",15.0%,"1,704",35.5%,"3,962",12.0%,"4,230",12.2%,"1,743",20.7%,"2,487",9.5%
At or above  poverty level,"840,132",85.2%,"136,654",65.8%,"703,478",90.4%,"22,990",87.7%,"1,656",73.4%,"21,334",89.0%,"63,123",80.1%,"21,311",64.8%,"41,812",91.1%,"23,350",86.8%,"2,278",55.4%,"21,072",92.5%,"164,355",81.7%,"22,474",52.5%,"141,881",89.6%,"32,228",85.0%,"3,094",64.5%,"29,134",88.0%,"30,458",87.8%,"6,678",79.3%,"23,780",90.5%
DISABILITY STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With one or more people with a disability,"223,206",22.6%,"87,154",42.0%,"136,052",17.5%,"4,526",17.3%,"1,269",56.3%,"3,257",13.6%,"24,154",30.7%,"14,890",45.3%,"9,264",20.2%,"6,154",22.9%,"2,134",51.9%,"4,020",17.6%,"40,474",20.1%,"19,036",44.5%,"21,438",13.5%,"7,336",19.4%,"2,430",50.6%,"4,906",14.8%,"8,029",23.1%,"2,679",31.8%,"5,350",20.4%
With no persons with a disability,"762,729",77.4%,"120,373",58.0%,"642,356",82.5%,"21,696",82.7%,987,43.8%,"20,709",86.4%,"54,638",69.3%,"17,996",54.7%,"36,642",79.8%,"20,747",77.1%,"1,975",48.1%,"18,772",82.4%,"160,628",79.9%,"23,739",55.5%,"136,889",86.5%,"30,558",80.6%,"2,368",49.4%,"28,190",85.2%,"26,659",76.9%,"5,742",68.2%,"20,917",79.6%
RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White alone,"275,417",27.9%,"33,727",16.3%,"241,690",31.0%,"8,971",34.2%,449,19.9%,"8,522",35.6%,"12,371",15.7%,"4,836",14.7%,"7,535",16.4%,"10,779",40.1%,"1,585",38.6%,"9,194",40.3%,"50,473",25.1%,"4,126",9.6%,"46,347",29.3%,"21,322",56.3%,"1,537",32.0%,"19,785",59.8%,"2,852",8.2%,927,11.0%,"1,925",7.3%
Black or African American alone,"135,324",13.7%,"38,616",18.6%,"96,708",12.4%,N,N,N,N,N,N,N,N,N,N,N,N,"4,163",15.5%,333,8.1%,"3,830",16.8%,"26,136",13.0%,"9,140",21.4%,"16,996",10.7%,"1,757",4.6%,381,7.9%,"1,376",4.2%,"22,205",64.0%,"4,841",57.5%,"17,364",66.1%
American Indian and Alaska Native alone,"2,614",0.3%,292,0.1%,"2,322",0.3%,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Asian alone,"16,739",1.7%,"1,193",0.6%,"15,546",2.0%,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"4,506",2.2%,0,0.0%,"4,506",2.8%,N,N,N,N,N,N,N,N,N,N,N,N
Native Hawaiian and Other Pacific Islander alone,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Some other race alone,"91,565",9.3%,"22,749",11.0%,"68,816",8.8%,N,N,N,N,N,N,"10,606",13.5%,"4,279",13.0%,"6,327",13.8%,"3,897",14.5%,391,9.5%,"3,506",15.4%,"16,971",8.4%,"3,489",8.2%,"13,482",8.5%,"3,143",8.3%,643,13.4%,"2,500",7.6%,"1,512",4.4%,425,5.0%,"1,087",4.1%
Two or more races,"463,810",47.0%,"110,950",53.5%,"352,860",45.3%,"14,242",54.3%,"1,670",74.0%,"12,572",52.5%,"54,435",69.1%,"23,332",70.9%,"31,103",67.8%,"7,657",28.5%,"1,800",43.8%,"5,857",25.7%,"102,238",50.8%,"25,962",60.7%,"76,276",48.2%,"10,810",28.5%,"2,167",45.2%,"8,643",26.1%,"7,922",22.8%,"2,228",26.5%,"5,694",21.7%
Hispanic or Latino origin (of any race),"684,414",69.4%,"162,154",78.1%,"522,260",67.1%,"23,327",89.0%,"1,951",86.5%,"21,376",89.2%,"76,687",97.3%,"32,464",98.7%,"44,223",96.3%,"19,082",70.9%,"3,678",89.5%,"15,404",67.6%,"133,333",66.3%,"32,638",76.3%,"100,695",63.6%,"20,967",55.3%,"4,409",91.9%,"16,558",50.0%,"11,126",32.1%,"3,550",42.2%,"7,576",28.8%
"White alone, not Hispanic or Latino","132,890",13.5%,"6,161",3.0%,"126,729",16.3%,"1,423",5.4%,74,3.3%,"1,349",5.6%,N,N,N,N,N,N,"2,431",9.0%,155,3.8%,"2,276",10.0%,"31,905",15.9%,"1,271",3.0%,"30,634",19.3%,"13,982",36.9%,236,4.9%,"13,746",41.5%,919,2.6%,155,1.8%,764,2.9%
HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Median income (dollars),"72,311",(X),"38,176",(X),"81,860",(X),"98,058",(X),"63,024",(X),"101,176",(X),"55,310",(X),"35,981",(X),"64,241",(X),"71,901",(X),"42,558",(X),"77,098",(X),"68,635",(X),"23,187",(X),"81,504",(X),"71,073",(X),"26,273",(X),"79,252",(X),"67,169",(X),"50,032",(X),"71,441",(X)
WORK STATUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Families,"680,496",(X),"155,943",(X),"524,553",(X),N,(X),N,(X),N,(X),"60,154",(X),"23,767",(X),"36,387",(X),N,(X),N,(X),N,(X),"110,784",(X),"26,676",(X),"84,108",(X),N,(X),N,(X),N,(X),"24,965",(X),"6,943",(X),"18,022",(X)
No workers in past 12 months,"75,387",11.1%,"31,773",20.4%,"43,614",8.3%,N,N,N,N,N,N,"8,953",14.9%,"5,168",21.7%,"3,785",10.4%,N,N,N,N,N,N,"10,809",9.8%,"6,664",25.0%,"4,145",4.9%,N,N,N,N,N,N,"2,400",9.6%,"1,093",15.7%,"1,307",7.3%
1 worker in past 12 months,"214,535",31.5%,"60,616",38.9%,"153,919",29.3%,N,N,N,N,N,N,"18,500",30.8%,"8,270",34.8%,"10,230",28.1%,N,N,N,N,N,N,"36,485",32.9%,"12,899",48.4%,"23,586",28.0%,N,N,N,N,N,N,"9,439",37.8%,"2,738",39.4%,"6,701",37.2%
2 or more workers in past 12 months,"390,574",57.4%,"63,554",40.8%,"327,020",62.3%,N,N,N,N,N,N,"32,701",54.4%,"10,329",43.5%,"22,372",61.5%,N,N,N,N,N,N,"63,490",57.3%,"7,113",26.7%,"56,377",67.0%,N,N,N,N,N,N,"13,126",52.6%,"3,112",44.8%,"10,014",55.6%
